Datetime,Username,Text
2021-12-01 23:59:59+00:00,myrddenbuckley,"Moderna Inc could have a COVID-19 booster shot targeting the Omicron variant tested and ready to file for U.S. authorization as soon as March.
https://t.co/qfYKy9vJX0"
2021-12-01 23:59:59+00:00,battlekat,@BrittanyVenti It's probably omicron
2021-12-01 23:59:58+00:00,M90502063,"Very timely quote.  
 #OmicronVarient #Fauci #Omicron https://t.co/ofj0e0NHiZ"
2021-12-01 23:59:58+00:00,MikeP_0,Omicron sounds like a Missy Elliot album or a Fucking Transformer.
2021-12-01 23:59:57+00:00,info_zampa,"@Davide19663174 @Moonsha72460823 @giuseppe1994na @PMO_W @RobiVil @FranceskoNew @z_melania @itosettiMD_MBA @WRicciardi @stefaniaconti @Patriziapattys @lucma66 @kittesencul @Moonlightshad1 @polina1156 @erretti42 @miciamiaoo @demian_online @svirgola2 @robertdolci @Honest34492337 @LongCovidItalia @GiudaV @LoGnuSagace @Antonel36628575 @FabrizioChiodo @Cartabellotta @StefanoCavatton @MarceVann @annak65649009 @bioccolo @Antonio_Caramia @CCKKI @iggyHT @tiziueb @ScuolaNoCovid @CasaScrittori @ProfPBianchi @ideascuola @gianlucac1 @MIsocialTW @robersperanza @MinisteroSalute @istsupsan @ISSalute_it @giorgiogilestro @MMmarco0 @Nature @reportrai3 @SigfridoRanucci Non solo italiana e non solo omicron,  purtroppo https://t.co/3vNG0nYUSO"
2021-12-01 23:59:56+00:00,colintrades1,@hundredMs In case there was a particle of Omicron on the in-flight panini
2021-12-01 23:59:54+00:00,John_Dantzler,"@kittydoormat There’s always one 24 hour location in cities of a certain size. Unless we’re gripped with Omicron panic, you can generally walk in and get a booster any time. Of course I’m in South Flyover…"
2021-12-01 23:59:54+00:00,gwinniejones,"@catgarian @CF10RugbyTrust @Cardiff_Rugby @WelshGovernment I’m not. It’s not the WGs fault that they flew, in a global pandemic, to SA.  Why should they bend the rules now it’s all gone wrong? They need to go through the isolation process just like everyone else. And not bring Omicron into Wales."
2021-12-01 23:59:53+00:00,Mastard3,Honestly I prefer B.1.1.529 as compared to Omicron
2021-12-01 23:59:50+00:00,presstelegram,Omicron: CDC demands airlines identify flyers who visited southern Africa https://t.co/931jZpYkfY
2021-12-01 23:59:49+00:00,Burstyn1fan1972,"CDC confirms first U.S. case of omicron Covid variant, in California https://t.co/swbOI5pd3V"
