Datetime,Username,Text
2021-11-29 23:49:58+00:00,even_mandalika,Ya begitulah 😌 @ Tabanan Bali https://t.co/JgzKpQisXK
2021-11-29 23:22:45+00:00,BumnRutengHebat,"Sobat BUMN,

Presiden Jokowi didampingi Menteri BUMN Erick Thohir telah meresmikan Sirkuit Mandalika di Lombok pada Jumat, 12 November 2021.

#JokowiErickBangunMandalika https://t.co/xtggCa8O5M"
2021-11-29 23:10:30+00:00,detikcom,"Suksesnya WSBK di Sirkuit Mandalika jadi motivasi TGUPP DKI, Bambang Widjojanto dukung Formula E. BW mengatakan Pemprov DKI ingin contoh kesuksesan WSBK https://t.co/ZSjHWpusFu"
2021-11-29 22:55:39+00:00,gratificat_no,@RD_4WR1212 @suroto_to75 Balap mandalika gada kumpul²..? Hah
2021-11-29 22:32:58+00:00,Foodef11,"MotoGP | ¿Qué podemos esperar del Mandalika Street Circuit? https://t.co/P8CRRfhlPC
#f1 #formula1"
2021-11-29 22:22:21+00:00,Embunpa01390476,@Muflihu82916962 @KompasTV @aniesbaswedan Lu kira sirkuit Mandalika gk ada masalah.hw yakin klo kok periksa pasti ada korupsi n buang2 anggaran..noh sirkuitnya banjir lambe lu mingkem...ada jg noh penduduk yg blm kelar ganti ruginya msh tingal ditengah sirkuit lu jg mingkem.otak dipakai mikir BKN cm buat pajangan
2021-11-29 22:22:18+00:00,Ersat_Arema021,"Dimana2 event kelas dunia yg terangkat ya nama NEGARA penyelenggaranya.
Asian Games di Jakarta, apakah nama Anies yg terangkat?
WSBK di Mandalika, NTB, apakah nama Zulkiflimansyah yg terangkat?

""SMA mu dimana?"" https://t.co/uAeehpOdMr"
2021-11-29 22:15:02+00:00,motorlat,MotoGP | ¿Qué podemos esperar del Mandalika Street Circuit? https://t.co/WxJ1wSLtPh
2021-11-29 22:02:31+00:00,iwanbanaran,[HOT] Media asing sebut Mandalika surga baru bagi WSBK !! Yesss https://t.co/GHXjtXDBPW
2021-11-29 21:35:09+00:00,voidotid,"Menteri Pariwisata dan Ekonomi Kreatif Sandiaga Uno mengatakan keberhasilan penyelenggaraan World Superbike (WSBK) di Mandalika, Nusa Tenggara Barat (NTB), pada 19-21 November dapat menjadi refleksi dan dasar untuk persiapan jelang MotoGP 2022. https://t.co/lSyeJ3P39W"
2021-11-29 21:27:45+00:00,trieva051,"@Muflihu82916962 @KompasTV @aniesbaswedan ngomong sama kentut, itu Sirkuit Mandalika dan kereta apai Cepat itu pa ngga buang2 anggaran Bong 🤣🤣🤣"
2021-11-29 21:08:11+00:00,LlKaspul,@iKomal143 @Dr_RabiaNoor12 @sabach60 @SadafKhan124 @DrMariaKhan4 @dr_sairakhan @RumaisaCh41 @PTI_Queen_ @AzK9201 @Sb__0987 Indinesia lombok mandalika sirkuit ntb.
2021-11-29 19:52:48+00:00,halamandepan_id,@detikcom Pakai sirkuit mandalika apa gak bisa bos... Ajang Formula E.... Maaf bila ❌
2021-11-29 19:13:15+00:00,NikiTuuli,"Feeling when you survived Monday 🤪 .
.
Have a great week all 🤙🏻.
#NT66 @ Mandalika International Street Circuit https://t.co/9s0M6GQZs7"
2021-11-29 19:09:00+00:00,DimazPrada,@FahmiHerbal Omdo doank bela teroris tp dirinya ga berani jadi pengantin pdhl jelas tiket surganya murah dibanding tiket nonton balap WSBK atau MotoGP Mandalika. Berani ga tuh ? 😪😪🤧🤧👎👎
2021-11-29 18:27:33+00:00,BraapTalkin,Paddock Pass Podcast Episode 254 – WorldSBK at Mandalika https://t.co/CPhmLWMD94
2021-11-29 18:21:42+00:00,Spy_Zone85,"@ABSetyono @PlateJohnny Seperti yang saat ini sedang kita lakukan dalam penyelenggaran World Super Bike, dan pada saat Moto GP Mandalika nanti disediakan juga jaringan backup. Begitu juga dengan event internasional G20 Summit.
@kemkominfo"
2021-11-29 18:21:14+00:00,priillybiee,"@ABSetyono @PlateJohnny Seperti yang saat ini sedang kita lakukan dalam penyelenggaran World Super Bike, dan pada saat Moto GP Mandalika nanti disediakan juga jaringan backup. 
@kemkominfo"
2021-11-29 17:48:23+00:00,arifinpribadi,@pengarang_sajak Biar mereka bunuh2 an bayar 500 milyar atau masuk penjara Dan siapa yg bayar  ....gitu Aja . Tinggal @jokowi ambil setelah beres pindah ke mandalika . Selesai masalah . Kl mau tetap Di Jakarta one about jadi tersangka dulu.  Gue mau tahu siapa yg mau rugi demi Indonesia .
